tweet_id,text,retweet_count,created_at
1652946324772225024,"Champions League matchday ✨ 

COME ON YOU GUNNERS! ❤️ https://t.co/IrhEfKR9Ax",968,2023-05-01 08:01:28+00:00
1652758789546819588,"Juventus CFO Calvo: “It’s pretty obvious that Massimiliano Allegri will stay — he will be our coach, he’s signed four year deal and we’re not even at the half of that”. ⚪️⚫️ #Juventus

“Eleven trophies, also two Champions League finals speak for Allegri”, he told DAZN. https://t.co/2KwtNeM8tb",643,2023-04-30 19:36:16+00:00
1652601297907126272,"🏆 2007 T20 World Cup
🏆 2009 IPL with Deccan Chargers
🏆 2013 IPL with MI
🏆 2013 ICC Champions Trophy
🏆 2013 Champions League T20 with MI
🏆 2015 IPL with MI
🏆 2017 IPL with MI
🏆 2019 IPL with MI
🏆 2020 IPL with MI

Rohit Sharma, 36 today, has a massive trophy cabinet 🫡 https://t.co/E7nmNeimIA",543,2023-04-30 09:10:27+00:00
1653035122843693056,"Not Al-Dosari or Al-Shahrani.. a new star who will miss Al-Hilal in the AFC Champions League final
https://t.co/I3XVUeBigC",0,2023-05-01 13:54:19+00:00
1653034982653173761,An Arsenal fan talking about champions league https://t.co/4QDwwoS03p,0,2023-05-01 13:53:46+00:00
1653034941611900932, You can tell most of these guys have this daunting view of champions league where nothing we do can work there and we must scrap it all !!!,0,2023-05-01 13:53:36+00:00
1653034926831222786,"Ajax will be ending the season without any trophy.And they might not qualify for the Champions League.❌🏆

This is unusual and also an unlucky season for Ajax.😏 https://t.co/peedyGTisz",0,2023-05-01 13:53:33+00:00
1653034842534158342,"Football Focus: Lotte Wubben-Moy on Arsenal, injuries &amp; inspiring a generation - https://t.co/LUZnfox5do{ 
Football Focus' Kelly Somers meets Arsenal's Lotte Wubben-Moy as she discusses their Champions League semi-final, injuries in women's football and inspiring a generation....",0,2023-05-01 13:53:13+00:00
1653034786468900864, How often has been Manchester united in the champions league ? 🤣🤣🤣🤣,0,2023-05-01 13:52:59+00:00
1653034742869299200," Even we’re in 4th i still worry about Champions League’s Cualification, we should pass it too, i just worry we bottle it and back to UEL.",0,2023-05-01 13:52:49+00:00
1653034666343948288," He shamelessly had to reduce the number of Champions league Messi has just to feed his foolish agenda. 
Show us Ronaldo's World Cup trophy.",0,2023-05-01 13:52:31+00:00
1653034592704647168,"Seeing Arsenal related post with champions league logo. Man it’s been too long, we really back. To think we have another 2 transformations before the final form. It’s going to be scary.",0,2023-05-01 13:52:13+00:00
1653034527713787906, Tastes like Champions league football,0,2023-05-01 13:51:57+00:00
1653034445836804099, Put Wrexham and afc Richmond in the prem who ever finishes highest you gotta take to the champions league final,0,2023-05-01 13:51:38+00:00
1653034412198490113,"So, she will leave Champions League team for a team that hardly beat top 4 in the WSL. https://t.co/wVk8Xn36Jx",0,2023-05-01 13:51:30+00:00
1652601285881872385,"With The Emirates selling out for Arsenal's Champions League semi-final second leg v Wolfsburg, over 240,000 tickets have been purchased to watch Arsenal Women at the Emirates this season across three WSL matches and five Champions League games.",1,2023-04-30 09:10:25+00:00
1652601180902629378,"I can confirm that: Newcastle united qualified to UEFA champions league 2023-2024 season...
#NUFC #nufcfans #pl",0,2023-04-30 09:10:00+00:00
1652601165387800576,"𝗦𝗢𝗨𝗧𝗛𝗘𝗥𝗡 𝗥𝗢𝗨𝗧𝗘 𝟮 🚶
 
We have arrived at Walsall Wood!  The Midland Football League Champions have taken time out their celebrations to welcome us this morning!
 
Donate 👉 https://t.co/38zGkJFjhN
Track us 👉 https://t.co/atwhXyIsbE
 
#UnitedForNeve https://t.co/uQHYfF0hCP",3,2023-04-30 09:09:56+00:00
1652601132823334913,League Two? Champions mate 🏆 #LOFC https://t.co/my1ogZtJvG,0,2023-04-30 09:09:48+00:00
1652601127274270721,Saka is not getting a single minute off next season with Champions League smh https://t.co/pzOEgLijY8,0,2023-04-30 09:09:47+00:00
1652601075193589762,Arsenal Women sell out Emirates Stadium for the Champions League semi final. Time to dump Boreham Wood and make Ashburton Grove a permanent home.  #UTA #TheArsenal #AFC  https://t.co/wmKTblz6jj,0,2023-04-30 09:09:34+00:00
1652601045371985921, After a Draw in the First Leg urawa Red Diamonds have a great Chance of winning the afc Champions League in the second Leg,0,2023-04-30 09:09:27+00:00
1652601028695425024,"Clubs with the most semifinal appearance in the history of the CAF Champions League.

#TotalEnergiesCAFCL #CAFCL https://t.co/69BqKjmSWn",0,2023-04-30 09:09:23+00:00
1652600970658869250," Messi has 4 CL's already. There is also no guarantee for the Champions League, his legacy is completed by the international titles",0,2023-04-30 09:09:09+00:00
1652600956406702083,"'What's your favourite time of the football season, Sir Keir?'

'I like April best, as that's when the Premier League Champions are crowned!' https://t.co/LO0dNgVDKw https://t.co/y5nmTVxzcp",2,2023-04-30 09:09:06+00:00
1652600860877152258,"The so called SABC sports tv channels and radio's fail to broadcast Total ernegies champions league,but they broadcast Epl games at Sabc 3,what a shame,if is pirates and chiefs,they will do everything in their powers to broadcast it.",0,2023-04-30 09:08:43+00:00
1652600856758611970," Chelsea' fighting for Champions League spot.....

I mean, Championship league...",0,2023-04-30 09:08:42+00:00
1652600853302325248, Sundowns is going to play champions league Final,0,2023-04-30 09:08:41+00:00
1652600815826214912,"   Not to forget we once smashed them at Bernabeu and Etihad and eliminated they ass out of the Champions league they are not that difficult, we did Ajax did it, Chelsea did it and many more clubs before us",0,2023-04-30 09:08:32+00:00
1652600803612405762," If your team is successful, there’s going to be a lot of matches to go to. That’s sport. Paying €75 for a ticket is nothing compared to champions league matches in football. And Leinster are playing at home, so no travel costs either.",0,2023-04-30 09:08:30+00:00
1652600700252180480,  when will the champions league final be held at Wembley??,0,2023-04-30 09:08:05+00:00
1652600369342730240,"  Inferior how? We have more trophies, more fans, more money, we always finish over you in the league, we get champions league football which Leeds can only dream of, any parameter that you can compare two clubs with, we beat you 💀",0,2023-04-30 09:06:46+00:00
1652600332789202945,Investigation launched into death of fan at CAF Champions League venue https://t.co/bbXzdaWTPn,0,2023-04-30 09:06:37+00:00
1652600260898832385, Now do the Champions League!!,0,2023-04-30 09:06:20+00:00
1652600243639263233,"Key line is “tickets SOLD”. No freebies handed out. All paid for and not dirt cheap. Quality product + excellent marketing strategy = 60k sell-out.  came from 0-2 down at Wolfsburg in first leg of Champions League semi, so 2-2 sets up fascinating second leg tomorrow. https://t.co/WqRk8NyRC6",54,2023-04-30 09:06:16+00:00
1652600208440606721,"At the bottom, 3 were already down, Torquay needed around an 8 goal swing, but held the champions Wrexham to a 1-1 draw and went down by 2 pts, the other 3 sides all beaten away from home. So far, it's a National League welcome to Rochdale, Hartlepool, Fylde and Ebbsfleet",0,2023-04-30 09:06:08+00:00
1652600147283460096,  You like watching the champions league on a Tuesday night mate?,0,2023-04-30 09:05:53+00:00
1652600067944054790,   I’m talking about football only.. y’all both winning domestic trophies no European trophy.. champions league final you both lose it. I don’t know the difference you’re talking about tho.,0,2023-04-30 09:05:34+00:00
1652599889245683714,"Nice brew in the lucky  mug, 3 point today for Eddie Howes Champions League boys ⚫️⚪️ https://t.co/gVNKUY7Rqv",1,2023-04-30 09:04:52+00:00
1652599863442276353,Amazing to see the Emirates sell out for  champions league game with Wolfsburg tomorrow…,0,2023-04-30 09:04:45+00:00
1652599801291190273," https://t.co/Tr4EbKb9cw Hi Jeff. Best wishes in your new job. I'd love a retweet for my new book of football poetry. I wax lyrical about the FA Cup, Premier League, Champions League, World Cup, England, Euro 2020, a eulogy to my lovely dad, grandpa Jack, Carabo Cup.",0,2023-04-30 09:04:31+00:00
1652599754529075200,"   Ur best team can't even beat 4th best in Portugese league😂😂😂
Ur 4th best team can't even beat relegation fighting Sevilla
Players like casemiro and Varane went for the fat paycheck 😂 
Hazard and Coutinho came to win champions league whereas hazard was playing europa league",1,2023-04-30 09:04:19+00:00
1652599669682470915,"Against all the haters.

Against all the fake traditionalists who claim to hate the APL #GrandFinal selloff but don't support GF hosting on merit.

Against all the jealous fans in the league who want to be us...

CHAMPIONS!!!! #SydneyisSkyBlue
#SYDvWUN #WeAreALeagues https://t.co/CJl27rAqJf",0,2023-04-30 09:03:59+00:00
1652599664049258498," Ah yes, because the best side in Portugal who play in the Champions League and a country that plays in one of Europe's best sides is that difficult to see",0,2023-04-30 09:03:58+00:00
1652599601260535809,"  Two assists in the champions league 
2 goals and 2 assists in the copa",0,2023-04-30 09:03:43+00:00
1652599407764811776,"Balde: ""A dream to fulfill? Winning the Champions League with Barcelona."" https://t.co/wg8GIx48mx",0,2023-04-30 09:02:57+00:00
1652599403625037825,"Arsenals champions League semi final against Wolfsburg sold out. 
This is incredible for women's football.",0,2023-04-30 09:02:56+00:00
1652599361916878849,  awhhh how wil they cope with a multiple champions league winning keeper,0,2023-04-30 09:02:46+00:00
1652599268518027264, Don’t believe a word of this ‘could’ ‘might’ drivel. But if he did choose shit football at a dead club over champions league riding one of the biggest waves in world football rn just for a few quid more then it tells you everything. As I said though don’t believe it 1 bit,0,2023-04-30 09:02:24+00:00
1652599257898131457, Martin has given so much of his life to Leyton Orient and without him I very much doubt we'd have a club to support let alone be Champions of League Two! Thank you Martin!,0,2023-04-30 09:02:21+00:00
1652599052427489281, Don't need to be champions to play in the Champions League!!!,0,2023-04-30 09:01:32+00:00
1652599049432834050,  We want the Champions League and CDR then,0,2023-04-30 09:01:31+00:00
1652599026062073856,"First season in the prem with Brighton after successive promotions from div 3 and despite our best efforts we just came up short. We’ll be back though, and at least there’s champions league football next season. Also, here’s proof that Andrew Mainwaring can do it at any level👀🔥 https://t.co/ADn3AMm9Fc",0,2023-04-30 09:01:26+00:00
1652598705629822977,Fantastic set up for the  Champions League to mark the club’s 70th anniversary. Amazing effort by lots of volunteers and sponsors to get it ready for two days of football https://t.co/kx9dkiVKNk,1,2023-04-30 09:00:09+00:00
1652598677402271745,   For perspective before Ashley are revenues comparable to spurs and Everton...after 14 years still around 25 million for marketing and theirs 100 million..tbh should have gone for 40 million like the top 6 as now a champions league club... maybe if you know nowt should stay quiet,0,2023-04-30 09:00:03+00:00
1652598675670007808,"📸: Some more snaps of this week's Community Champions League

A big thank you to Moorside, Broadoak, Lewis Street, ChristChurch CE, St Philip's, and St Joseph the Worker for turning up and giving it your all! 👏

#CommunityChampionsUEFA https://t.co/OJdXWfSF8D",1,2023-04-30 09:00:02+00:00
1652598672822091776,"BORN ON THIS DAY: JOHN O'SHEA

Born on this day in 1981 is former Sunderland skipper, multiple Premier League and Champions League winner, John O'Shea. 

READ MORE👇
https://t.co/fJqNmDeJBS https://t.co/WSLPXnmGAy",0,2023-04-30 09:00:02+00:00
1652598669278068736,"""They are obviously one of the best teams I can say can win the Champions League [this season.]""

CR Belouizdad coach Nabil Kouki says his praise of Mamelodi Sundowns means they are favourites for the title over Al Ahly, Wydad and Esperance this season. https://t.co/YkbqBPaFOR https://t.co/TAqgWpNfzs",5,2023-04-30 09:00:01+00:00
1652598667797499905,"Guardiola is happy with what he's seeing in the dressing room #mcfc 
https://t.co/zdCNSkNedJ",4,2023-04-30 09:00:00+00:00
1652598534045040640,   Fair enough...I just hope they win the champions league because if they don't it means they are what we think they are,0,2023-04-30 08:59:28+00:00
1652598531977363456,"This is after exceeding exceeding their expectations za ""qualify for europa league through the league"" nika ""qualify for Champions league through the league"" 😭😭",0,2023-04-30 08:59:28+00:00
1652598490239836162,"  Fans refused to go in protest too the owner, eventually paid off and now we’re the richest club in the world heading for the champions league while you’re fumbling around struggling to get out the championship which we did twice btw, first time on both occasions too.",0,2023-04-30 08:59:18+00:00
1652598378868424704,"  You 12? He’s right regardless of who it is. Trophies are for whoever wins it, like when champions league used to be just champions",0,2023-04-30 08:58:51+00:00
1652598297025036292,    Yeah why would he want a salary increase and likely champions league football when he could stay at the self appointed peoples club who are really on the up and up aren’t they?,0,2023-04-30 08:58:32+00:00
1652598224966889474,Fan dies amid crowd trouble during CAF Champions League game in Morocco https://t.co/M2W0p9EsHE,0,2023-04-30 08:58:15+00:00
1652598214397243393,Too loud for a club with no Champions League or Europa League trophy for the last 40+ years https://t.co/xQzmaiGsV0,1,2023-04-30 08:58:12+00:00
1652598107241082880,  Very important match today. Inter must be at the forth place to be in the champions league next year.,0,2023-04-30 08:57:47+00:00
1652598029495545856,"So what chance are we giving Madrid and Milan at preventing Shitty from getting Champions League Glory, #WheresPulisicWhenUNeedHim ??

Have some hope left, but unfortunately Shitty do have decent odds at a Treble.

Let's go beat them in Our Final at least, control w w c c. #GGMU",0,2023-04-30 08:57:28+00:00
1652598004371554305,  Are they in Champions League or What?,0,2023-04-30 08:57:22+00:00
1652597946406383616,Arsenal sell out the Emirates for Women’s Champions League semi-final https://t.co/qkFFlVX7Nm https://t.co/XrgHCnDKHC,0,2023-04-30 08:57:08+00:00
1652597902785794048,"Is Daniel Sturridge the best thing about this seasons champions league?

A thread 🧵",0,2023-04-30 08:56:58+00:00
1652597754227556353, You guys joke🙌🙌when they are still in city....they won't win a ballon d o champions league 🏆 unless they join #R.madrid🙌🙌,0,2023-04-30 08:56:23+00:00
1652597746963021825, You can try all you want but no champions league for you next season 😅😭,0,2023-04-30 08:56:21+00:00
1652597684631420930,"Amazing day Saturday with the  lads winning the  Premier League title 🏆🏆 for the first time in the club’s history

A great team on the pitch and a great team behind the scenes, 👊Mike, Rosey, Adam, Adam &amp; Brad 👊

Hard work has paid off….Champions! 🔵⚪️ https://t.co/Ou5dyrCX0P",4,2023-04-30 08:56:06+00:00
1652597643304919040,  Gazzetta we know your Milan teams aren’t getting league qualification to champions league it’s okay,1,2023-04-30 08:55:56+00:00
1652597591907901441,  Hi  . I have been a Milan fan since 1989. I wanted to buy a ticket for the 1/2 final of the champions league. I waited 2.5 hours and then I was kicked out of the system😡I can't buy a ticket normally but on these pages have several hundred tickets 😡how is this possible? https://t.co/6bPZMzwENS,0,2023-04-30 08:55:44+00:00
1652597513403133952,  From where are you feeling that? Champions League or you still fighting for #4spot in PSL?,0,2023-04-30 08:55:25+00:00
1652597475700555777, Man united media darlings. They are no closer to winning the league &amp; champions league to spurs! A FA cup or Mickey Mouse cup makes no difference to his career.,0,2023-04-30 08:55:16+00:00
1652597392737181696,   Psg is just like city.. winning their league but no champions league 😂,0,2023-04-30 08:54:56+00:00
1652597368443813888,Fan dies as crowd trouble mars two CAF Champions League quarter finals https://t.co/KEOy2nuJRe,3,2023-04-30 08:54:51+00:00
1652597284373135360,"Bank holiday, match day, champions league in our sights 🍻 ⚫️⚪️⚽️😍 let’s gooooo https://t.co/lwfKsolyAS",0,2023-04-30 08:54:31+00:00
1652597276580143104,"📷BREAKING NEWS📷
Police have confirmed that ex and current Premier League footballers have had their houses burgled on the same night.
Ryan Giggs lost 2 Champions League, 13 Premier League, 4 FA Cup and 4 League Cup winners medals.
Harry Kane lost a kettle and a toaster... https://t.co/SqVnASlW4v",23,2023-04-30 08:54:29+00:00
1652597194250153985,"They haven't been playing after 3 days
They are not competing in any silverware 
Their target is only champions league spot https://t.co/IlXDxB0vzu",0,2023-04-30 08:54:09+00:00
1652597162658635776, So Ben Jacobs is saying he is waiting on Spurs to get into the Champions League before making a decision? I don't know what's more stupid. 1. The fact is that he thinks Spurs will make the Champions League place or 2 the fact he thinks Spurs will make the Champion League place 🤣,0,2023-04-30 08:54:02+00:00
1652597118501093377," This is CAF Champions league, not playing against Golden Arrows.",0,2023-04-30 08:53:51+00:00
1652597063480225792,"MSB Woolton 🏆
Champions 2022/2023 
Liverpool Premier League

Further photos of the joyous day yesterday

Including Mike Harvey Manager of MSB with the Premier Division cup https://t.co/tfqbDTJ0CI",10,2023-04-30 08:53:38+00:00
1652597057633263617," Some people only got full access to EPL post 2000s or with the advent of DSTV in their lives, which was also late and around the aforementioned times, they only got to see certain players in the champions league on E TV shame...

No need to bicker with them..",0,2023-04-30 08:53:36+00:00
1652597006634741760,Benzema has played only 3 games less than Lewandowski not 11 and they have both 29 goals. Lewandowski has 5 champions league goals even though Barcelona has been eliminated in group stages. And Benzema has played 2 more competitions. Fake stats as always. https://t.co/WesmYMwSnQ https://t.co/Ihu5zjBgP6,0,2023-04-30 08:53:24+00:00
1652596944189964289,   ?? He’s not been wanting out for the past 2 years he’s just been open to offers but at the start of this season he got an offer from a champions league club and turned it down to try to help wolves and he can walk into most team’s comfortably,0,2023-04-30 08:53:09+00:00
1652596772009656321,    He has the most assists in a single champions league season and he got that from right back. When he switch positions he always performed. He's literally a back up right back because he plays well there,0,2023-04-30 08:52:28+00:00
1652596701817864192, Is there any difference to champions league qualification between 3rd and 4th?,0,2023-04-30 08:52:12+00:00
1652596683832803328,"Thrilling matches to watch.
Each team have something to play for🔥🔥

Be it 
Premier league Trophy 🏆
Relegation ⬇️
Champions league spot🏆
European spot🏆

#PremierLeague #MatchDay #Matchweek34 #Football https://t.co/zDSpfD3gia",1,2023-04-30 08:52:07+00:00
1652596560146866177, No - buying 10 Ajax won't win Ten Hag the premier league or the champions league,0,2023-04-30 08:51:38+00:00
1652596506090786816,  Villa in the champions league would make that villa nonce unbearable 😂,0,2023-04-30 08:51:25+00:00
1652596504941457409, Spurs might not get champions league for the next 5 years,0,2023-04-30 08:51:25+00:00
1652596443713257474, Class - He was not satisfied on losing Champions League final,0,2023-04-30 08:51:10+00:00
1652596432547749889, Guardiola have a champions league?,0,2023-04-30 08:51:07+00:00
1652596404525711361,"     Messi exceeds him in almost every stat, except for Champions League stats.
Exclude Ronaldo's penalty goals and it turns out that Messi has more outfield goals while having over 10 THOUSAND less minutes played, while also already having more assists. https://t.co/MiV3HrT0eb",0,2023-04-30 08:51:01+00:00
1652596345973231617,"   Una go just d talk anything to feel happy 

Haaland is 22 and has already scored more champions league goals than Torres 

Torres in 3 seasons for Chelsea scored 45 goals 
Haaland has scored more than 45 goals in his first season for City",0,2023-04-30 08:50:47+00:00
1652596172891078656, The only way we make it to champions league next year is by winning it this year 😭😭,0,2023-04-30 08:50:06+00:00
1652595949556887552,   And your best 3 teams got kick out by Madrid in the champions league last season now cry.,0,2023-04-30 08:49:12+00:00
1652595908280721410,Ah Wey the champions league dream was canny https://t.co/dUwdq9Va6T,0,2023-04-30 08:49:02+00:00
1652595887288332288,"Camavinga

""With Modrić out, I have the option to play him as a midfielder as I did in the first leg against Liverpool.

We'll see whether Luka can get over his injury in time or not. Then we'll put together a good line-up for the cup final and the Champions League semi-final.""",0,2023-04-30 08:48:57+00:00
1652595839192162306, There is no villa champions League talk. There isn't even a top 4 race,0,2023-04-30 08:48:46+00:00
1652595798838845440,  Shame he never felt like that in the champions league then!,0,2023-04-30 08:48:36+00:00
1652595676566388737,PSG can spend as much money as they want and still not win the Champions League.,0,2023-04-30 08:48:07+00:00
1652595500418322432, We love you Percy but we won't let you win the Champions League💛,0,2023-04-30 08:47:25+00:00
1652595357380141056,     When was the last time burnely were in champions league fal 💀,0,2023-04-30 08:46:51+00:00
1652595345841348608," Best team over the season win the league. The table doesn’t lie. Well done.
#BWFC (pizza cup champions 2023)",0,2023-04-30 08:46:48+00:00
1652595297258799105, Less than £20m because of no champions league football next season,0,2023-04-30 08:46:37+00:00
1652595175972012033,Today we take a step closer to Champions League football https://t.co/NhEvhRDQOA,52,2023-04-30 08:46:08+00:00
1652595126764486657,Over 1 million tickets requested to attend Champions league Derby Della Madonnina https://t.co/YUB0h11FKm,0,2023-04-30 08:45:56+00:00
1652595126265413633,"  Except not winning the treble is not a failure season, not winning the league is a failure for all 19 teams that don't manage to do so, as the aim for all at the start is to be champions",0,2023-04-30 08:45:56+00:00
1652594986771423233,Read more here.. https://t.co/MOAg39bkdB,0,2023-04-30 08:45:23+00:00
1652594921889492994," Lool We’ve never mentioned league title, Our goal is champions league and we’ve achieved it 🙌🏿🥳",0,2023-04-30 08:45:07+00:00
